PER,R,DATE,NAME
day,rjupiter,,
6.790123,1.1360000372,2011,Kepler-14b
7.8125124,0.1960960031,2011,Kepler-50b
228.776,0.7537999749,2011,Kepler-16b
31.7844,0.3589290082,2011,Kepler-33e
5.66793,0.1550939977,2011,Kepler-33b
13.17562,0.2852300107,2011,Kepler-33c
21.77596,0,2011,Kepler-33d
41.02902,0.3975400031,2011,Kepler-33f
289.8623,0.212500006,2011,Kepler-22b
8.14561,0.2139230072,2011,Kepler-24b
12.3318,0.2495770007,2011,Kepler-24c
9.2869944,0.1970739961,2011,Kepler-19b
18.6489525,0.2575989962,2011,Kepler-53b
38.5583038,0.2825559974,2011,Kepler-53c
2.143634,1.6699999571,2011,WASP-48b
13.83989,0.132453993,2011,Kepler-36b
8.98597,0.3030569851,2011,Kepler-28c
5.91213,0.3208839893,2011,Kepler-28b
1.865169,0.0508067012,2011,Kepler-42d
0.45328509,0.0650682002,2011,Kepler-42c
1.2137672,0.0695248991,2011,Kepler-42b
15.33611,0.3565379977,2011,Kepler-27b
31.32865,0.4367589951,2011,Kepler-27c
10.9129343,0.2272929996,2011,Kepler-49c
7.2037945,0.2424460053,2011,Kepler-49b
2.455239,0.9599999785,2011,Kepler-45b
5.7293196,0.195205003,2011,Kepler-57b
10.5034294,0.3422760069,2011,Kepler-56b
21.4050484,0.699706018,2011,Kepler-56c
42.6318,0.3743650019,2011,Kepler-31c
92.141,0.3832780123,2011,Kepler-31b
7.10664,0.1693560034,2011,Kepler-23b
10.74356,0.2852300107,2011,Kepler-23c
1.855558,0.8410000205,2011,Kepler-41b
8.0109434,0.1871819943,2011,Kepler-54b
4.942782,0.9599999785,2011,Kepler-15b
10.2184954,0.2477940023,2011,Kepler-58b
45.1555023,0.6283980012,2011,Kepler-51b
6.87349,1.1699999571,2011,Kepler-40b
21.0874,1.2200000286,2011,Kepler-39b
118.37774,0.326523006,2011,Kepler-11g
10.30375,0.175751999,2011,Kepler-11b
13.02502,0.281024009,2011,Kepler-11c
22.68719,0.3060039878,2011,Kepler-11d
31.9959,0.4032480121,2011,Kepler-11e
46.68876,0.2328490019,2011,Kepler-11f
8.7522,0.329798013,2011,Kepler-32c
5.90124,0.3654510081,2011,Kepler-32b
7.64159,0.4897849858,2011,Kepler-18c
3.504725,0.4897849858,2011,Kepler-18b
14.85888,0.6227139831,2011,Kepler-18d
13.2907,0.2584899962,2011,Kepler-29c
10.3376,0.3208839893,2011,Kepler-29b
1.4857108,1.3300000429,2011,Kepler-17b
4.7779803,0.1907480061,2011,Kepler-48b
9.6739283,0.2798820138,2011,Kepler-48c
3.24674,1.2400000095,2011,Kepler-44b
1.420033,1.1640000343,2011,Qatar-1b
1.4822446,1.2089999914,2011,TrES-5b
1.212884,1.3680000305,2011,HAT-P-23b
2.4238039,1.1399999857,2012,WASP-44b
3.1260876,1.1599999666,2012,WASP-45b
4.640382,0.8249999881,2012,HAT-P-38b
1.3600309,1.2100000381,2012,WASP-77Ab
3.652836,1.1900000572,2012,HAT-P-25b
2.17517656,1.7000000477,2012,WASP-78b
3.6623817,1.7000000477,2012,WASP-79b
3.8559,1.2400000095,2012,WASP-61b
4.411953,1.3899999857,2012,WASP-62b
2.7817387,1.1150000095,2012,WASP-49b
4.1137912,1.2860000134,2012,KELT-2Ab
4.37808,1.4299999475,2012,WASP-63b
3.89713,1.2899999619,2012,CoRoT-19b
3.54387,1.57099998,2012,HAT-P-39b
3.33714,0.3743650019,2012,GJ3470b
3.646706,1.3320000172,2012,HAT-P-35b
1.5373653,1.2690000534,2012,WASP-36b
4.086052,1.3899999857,2012,WASP-66b
1.327347,1.2640000582,2012,HAT-P-36b
4.9816877,1.0629999638,2012,WASP-42b
4.465633,1.2999999523,2012,WASP-55b
1.3371182,1.1440000534,2012,Qatar-2b
5.35227,1.1699999571,2012,CoRoT-16b
3.6313,1.0499999523,2012,CoRoT-23b
2.79736,1.1779999733,2012,HAT-P-37b
42.1516418,0.1969870031,2012,Kepler-55c
105.595,0.3877350092,2012,Kepler-38b
9.3761368,0.2486850023,2012,Kepler-50c
11.9016171,0.2272929996,2012,Kepler-60d
7.1316185,0.2032269984,2012,Kepler-60b
8.9193459,0.2201620042,2012,Kepler-60c
33.60134,0.8080000281,2012,Kepler-46b
16.23855,0.3279260099,2012,Kepler-36c
11.6092567,0.1381579936,2012,Kepler-57c
3.352059,,2012,WTS-1b
12.0717249,0.1096350029,2012,Kepler-54c
49.514,0.2656210065,2012,Kepler-47b
303.158,0.4190909863,2012,Kepler-47c
4.61442,1.3999999762,2012,WASP-67b
15.5741568,0.2549250126,2012,Kepler-58c
85.3128662,0.5089579821,2012,Kepler-51c
2.694047,1.6849999428,2012,HAT-P-41b
138.506,0.5508509874,2012,PH-1b
5.452654,1.1970000267,2012,HAT-P-34b
1.43037,1.3099999428,2012,WASP-46b
10.338523,1.0099999905,2012,HAT-P-17b
4.1591399,1.1499999762,2012,WASP-47b
4.457243,1.7300000191,2012,HAT-P-40b
3.446459,1.3020000458,2013,HATS-1b
5.01718,1.3700000048,2013,WASP-58b
1.7497798,1.2699999809,2013,WASP-52b
7.919585,0.7749999762,2013,WASP-59b
4.3050011,0.8600000143,2013,WASP-60b
